601
10
26038634
756619
 0 1 1 27 43  9 (D 0,1,1) (S 17,1,27) (S 5,8,8) (S 12,8,24) (S 11,24,24) (S 46,24,27) (S 35,8,27) (S 22,3,6) (D 0,1,1)
 0 1 2 27 40  7 (D 0,1,1) (S 19,1,3) (S 20,3,8) (S 3,6,6) (S 36,6,7) (S 40,4,19) (D 0,1,1)
 0 1 3 27 55  8 (D 0,1,1) (S 29,1,19) (S 37,1,17) (S 28,15,17) (S 43,15,20) (S 9,21,21) (S 34,13,14) (D 0,1,1)
 0 1 4 27 63  8 (D 0,1,1) (S 44,1,15) (S 33,13,15) (S 8,20,20) (S 18,21,25) (S 23,25,26) (S 41,23,26) (D 0,1,1)
 0 1 5 27 63  9 (D 0,1,1) (S 1,2,2) (S 15,2,12) (S 21,12,19) (S 24,12,13) (S 32,14,16) (S 7,16,16) (S 16,18,21) (D 0,1,1)
 0 1 6 27 43  5 (D 0,1,1) (S 2,4,4) (S 26,4,10) (S 30,5,9) (D 0,1,1)
 0 1 7 24 53  6 (D 0,1,1) (S 39,10,11) (S 4,7,7) (S 25,6,10) (S 31,6,8) (D 0,1,1)
 0 1 8 26 84  6 (D 0,1,1) (S 45,5,6) (S 42,3,4) (S 38,18,25) (S 27,21,23) (D 0,1,1)
 0 1 9 27 61  4 (D 0,1,1) (S 6,14,14) (S 13,26,27) (D 0,1,1)
 0 1 10 19 96  4 (D 0,1,1) (S 14,23,24) (S 10,22,22) (D 0,1,1)
