324
11
27875529
2412853
 0 1 1 27 30  7 (D 0,1,1) (S 14,1,3) (S 2,3,3) (S 16,3,4) (S 19,4,6) (S 5,6,6) (D 0,1,1)
 0 1 2 27 30  8 (D 0,1,1) (S 36,1,5) (S 4,5,5) (S 11,5,8) (S 25,8,11) (S 42,1,4) (S 28,4,9) (D 0,1,1)
 0 1 3 27 31  4 (D 0,1,1) (S 1,2,2) (S 39,2,7) (D 0,1,1)
 0 1 4 27 36  6 (D 0,1,1) (S 3,4,4) (S 26,6,10) (S 34,3,11) (S 17,7,10) (D 0,1,1)
 0 1 5 27 32  6 (D 0,1,1) (S 7,8,8) (S 38,8,9) (S 12,9,10) (S 41,7,8) (D 0,1,1)
 0 1 6 27 35  6 (D 0,1,1) (S 10,11,11) (S 15,2,6) (S 37,6,11) (S 24,3,7) (D 0,1,1)
 0 1 7 25 28  6 (D 0,1,1) (S 23,4,7) (S 6,7,7) (S 22,7,9) (S 33,7,11) (D 0,1,1)
 0 1 8 25 30  7 (D 0,1,1) (S 27,2,5) (S 30,5,10) (S 9,10,10) (S 13,10,11) (S 21,3,9) (D 0,1,1)
 0 1 9 23 28  5 (D 0,1,1) (S 35,2,4) (S 18,6,7) (S 8,9,9) (D 0,1,1)
 0 1 10 26 34  6 (D 0,1,1) (S 40,2,3) (S 29,3,8) (S 20,9,11) (S 31,6,8) (D 0,1,1)
 0 1 11 5 10  3 (D 0,1,1) (S 32,5,9) (D 0,1,1)
