645
11
17932758
92613
 0 1 1 27 68  9 (D 0,1,1) (S 18,1,27) (S 13,24,24) (S 22,24,27) (S 12,23,23) (S 28,23,26) (S 14,25,25) (S 31,16,17) (D 0,1,1)
 0 1 2 7 inf  3 (D 0,1,1) (S 19,1,19) (D 0,1,1)
 0 1 3 27 63  6 (D 0,1,1) (S 23,1,17) (S 9,15,15) (S 32,14,16) (S 27,21,22) (D 0,1,1)
 0 1 4 27 92  8 (D 0,1,1) (S 1,2,2) (S 36,2,1) (S 37,12,13) (S 7,13,13) (S 33,14,20) (S 20,6,7) (D 0,1,1)
 0 1 5 26 60  5 (D 0,1,1) (S 2,3,3) (S 24,3,8) (S 16,5,9) (D 0,1,1)
 0 1 6 26 55  5 (D 0,1,1) (S 5,6,6) (S 29,6,10) (S 34,10,11) (D 0,1,1)
 0 1 7 25 56  5 (D 0,1,1) (S 8,14,14) (S 10,18,18) (S 17,21,25) (D 0,1,1)
 0 1 8 24 60  6 (D 0,1,1) (S 11,22,22) (S 30,22,23) (S 15,26,26) (S 25,21,23) (D 0,1,1)
 0 1 9 21 91  5 (D 0,1,1) (S 4,5,5) (S 21,8,9) (S 6,7,7) (D 0,1,1)
 0 1 10 22 50  3 (D 0,1,1) (S 3,4,4) (D 0,1,1)
 0 1 11 17 50  4 (D 0,1,1) (S 35,18,21) (S 26,20,21) (D 0,1,1)
